Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
ContentLibraries,Chrome 131.0.0.0,,,30-11-2024 14:07:45,30-11-2024 14:14:19,6m - 33.820s,FAILED
,,,,,,,
Test Cases/ContentLibraries/CheckThatAllFieldsAreAppear,Chrome 131.0.0.0,,,30-11-2024 14:07:45,30-11-2024 14:08:11,25.458s,PASSED
"openBrowser(""https://preprod-ula-content-library.joacademy.tech/login"")",Chrome 131.0.0.0,,,30-11-2024 14:07:46,30-11-2024 14:07:58,12.467s,PASSED
maximizeWindow(),Chrome 131.0.0.0,,,30-11-2024 14:07:58,30-11-2024 14:07:58,0.114s,PASSED
"sendKeys(findTestObject(""Login/Email""), ""main.burghol@joacademy.com"")",Chrome 131.0.0.0,,,30-11-2024 14:07:58,30-11-2024 14:07:59,0.678s,PASSED
"sendKeys(findTestObject(""Login/Password""), ""main1234"")",Chrome 131.0.0.0,,,30-11-2024 14:07:59,30-11-2024 14:07:59,0.378s,PASSED
"click(findTestObject(""Login/button_Sign in""))",Chrome 131.0.0.0,,,30-11-2024 14:07:59,30-11-2024 14:08:00,0.485s,PASSED
delay(5),Chrome 131.0.0.0,,,30-11-2024 14:08:00,30-11-2024 14:08:05,5.046s,PASSED
"click(findTestObject(""ContentLibraries/Content Libraries""))",Chrome 131.0.0.0,,,30-11-2024 14:08:05,30-11-2024 14:08:09,3.623s,PASSED
"verifyElementClickable(findTestObject(""ContentLibraries/ChangeLanugage""))",Chrome 131.0.0.0,,,30-11-2024 14:08:09,30-11-2024 14:08:09,0.485s,PASSED
"verifyElementClickable(findTestObject(""ContentLibraries/button_Filter""))",Chrome 131.0.0.0,,,30-11-2024 14:08:09,30-11-2024 14:08:09,0.310s,PASSED
"verifyElementClickable(findTestObject(""ContentLibraries/button_Delete""))",Chrome 131.0.0.0,,,30-11-2024 14:08:09,30-11-2024 14:08:10,0.265s,PASSED
"verifyElementClickable(findTestObject(""ContentLibraries/span_Edit""))",Chrome 131.0.0.0,,,30-11-2024 14:08:10,30-11-2024 14:08:10,0.261s,PASSED
"verifyElementClickable(findTestObject(""ContentLibraries/SearchBar""))",Chrome 131.0.0.0,,,30-11-2024 14:08:10,30-11-2024 14:08:10,0.263s,PASSED
"verifyElementClickable(findTestObject(""ContentLibraries/New content library""))",Chrome 131.0.0.0,,,30-11-2024 14:08:10,30-11-2024 14:08:10,0.272s,PASSED
closeBrowser(),Chrome 131.0.0.0,,,30-11-2024 14:08:10,30-11-2024 14:08:11,0.390s,PASSED
,,,,,,,
Test Cases/ContentLibraries/CreateContentLibaray,Chrome 131.0.0.0,,,30-11-2024 14:08:11,30-11-2024 14:08:37,25.931s,PASSED
min = 1000,Chrome 131.0.0.0,,,30-11-2024 14:08:11,30-11-2024 14:08:11,0.001s,PASSED
max = 9999,Chrome 131.0.0.0,,,30-11-2024 14:08:11,30-11-2024 14:08:11,0.001s,PASSED
randomNumber = Random().nextInt(max - min + 1) + min,Chrome 131.0.0.0,,,30-11-2024 14:08:11,30-11-2024 14:08:11,0.020s,PASSED
"openBrowser(""https://preprod-ula-content-library.joacademy.tech/login"")",Chrome 131.0.0.0,,,30-11-2024 14:08:11,30-11-2024 14:08:15,4.068s,PASSED
maximizeWindow(),Chrome 131.0.0.0,,,30-11-2024 14:08:15,30-11-2024 14:08:15,0.035s,PASSED
"sendKeys(findTestObject(""Login/Email""), ""main.burghol@joacademy.com"")",Chrome 131.0.0.0,,,30-11-2024 14:08:15,30-11-2024 14:08:16,0.554s,PASSED
"sendKeys(findTestObject(""Login/Password""), ""main1234"")",Chrome 131.0.0.0,,,30-11-2024 14:08:16,30-11-2024 14:08:16,0.348s,PASSED
"click(findTestObject(""Login/button_Sign in""))",Chrome 131.0.0.0,,,30-11-2024 14:08:16,30-11-2024 14:08:16,0.285s,PASSED
delay(5),Chrome 131.0.0.0,,,30-11-2024 14:08:16,30-11-2024 14:08:21,5.010s,PASSED
"click(findTestObject(""ContentLibraries/Content Libraries""))",Chrome 131.0.0.0,,,30-11-2024 14:08:21,30-11-2024 14:08:23,2.166s,PASSED
"click(findTestObject(""ContentLibraries/New content library""))",Chrome 131.0.0.0,,,30-11-2024 14:08:23,30-11-2024 14:08:25,1.236s,PASSED
delay(3),Chrome 131.0.0.0,,,30-11-2024 14:08:25,30-11-2024 14:08:28,3.018s,PASSED
"sendKeys(findTestObject(""ContentLibraries/ContentLibraryCreation/EnglishTitle""), ""AutomationTest"")",Chrome 131.0.0.0,,,30-11-2024 14:08:28,30-11-2024 14:08:28,0.277s,PASSED
